business_id,name,city,state,postal_code,is_open,categories,avg_stars,avg_useful,avg_funny,avg_cool,total_reviews
HCbJPXWXvwN-C7XfmVy3gA,Granite City Food & Brewery,Indianapolis,IN,46204,0,"Desserts, Breweries, Breakfast & Brunch, Restaurants, Barbeque, American (New), Food, American (Traditional)",3.44,0.46,0.05,0.27,274
kGjpBqAqG4mIuFSgU2KKEA,The Royal Indian Cuisine,Philadelphia,PA,19103,1,"Restaurants, Indian",4.0,1.11,0.04,0.21,28
kLSEk3qXY1KdtFjxHJ9pww,McDonald's,Philadelphia,PA,19154,1,"Restaurants, Fast Food, Food, Coffee & Tea, Burgers",1.25,0.35000000000000003,0.2,0.05,20
kfGz2E7Y5FLXJyiKbQYfZg,The Irish Times,Philadelphia,PA,19147,0,"Nightlife, Bars, Beer, Wine & Spirits, Pubs, Irish, Food, Restaurants",3.61,1.57,0.72,0.76,46
hDiCHlTXKGUj1Yh4tq223w,Pasquales,Indianapolis,IN,46221,1,"Restaurants, Pizza, Italian",3.08,0.77,0.38,0.23,26
PdMXmOWDRHICAx6SLgu1dQ,24,Philadelphia,PA,19103,0,"Italian, Bars, Restaurants, Nightlife, Wine Bars, Breakfast & Brunch",3.46,1.06,0.27,0.35000000000000003,114
2DsplH_vy4GCcEnVpn0AbA,Cafe Olivia,Indianapolis,IN,46204,1,"Sandwiches, Breakfast & Brunch, Food Stands, Italian, Restaurants",4.26,1.49,0.17,1.03,35
zIDuAuwyaLmNwv4k18mbwA,India Palace,Indianapolis,IN,46254,1,"Indian, Restaurants, Pakistani, American (New)",3.5,0.9,0.22,0.36,175
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,Philadelphia,PA,19143,1,"Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian",4.11,0.74,0.16,0.30000000000000004,311
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,Philadelphia,PA,19103,1,"Restaurants, Delis, Salad, Sandwiches",4.01,1.01,0.52,0.7000000000000001,71
MYoRNLb5chwjQe3c_k37Gg,Sean Thorntons Public House,Philadelphia,PA,19134,1,"Food, Nightlife, Restaurants, Irish Pub, Bars, Irish, Pubs, Beer, Wine & Spirits, Event Planning & Services, Gastropubs, Caterers",3.33,0.67,0.17,0.33,6
pP4q0Mym-qt20nRqTKbzhQ,Morton's The Steakhouse,Philadelphia,PA,19102,0,"Steakhouses, Restaurants, Nightlife, Seafood, Bars, American (Traditional)",3.54,1.04,0.5,0.58,153
qMmEEvmRvcyJUD5SrKNCtA,King Ribs Bar-B-Q,Indianapolis,IN,46254,1,"Barbeque, Restaurants",2.75,0.75,0.35000000000000003,0.2,20
Iuir7lUtx-LMhYtStwyf3Q,Another Broken Egg Cafe,Indianapolis,IN,46250,1,"American (Traditional), Restaurants, Breakfast & Brunch, Cafes, Bars, Nightlife, Cocktail Bars",4.19,0.89,0.07,0.33,27
y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,Philadelphia,PA,19130,1,"Trinidadian, Caribbean, Restaurants, Seafood",4.31,0.96,0.14,0.39,140
RrqRin8BYGrTlJbCDwtLzA,Wawa,Philadelphia,PA,19104,1,"Delis, Gas Stations, Food, Convenience Stores, Restaurants, Automotive, Coffee & Tea, Sandwiches",3.46,0.79,0.44,0.44,52
IgNDlyLERBwFGphgcC5VDQ,Cosi,Philadelphia,PA,19107,0,"Sandwiches, Vegetarian, Pizza, Food, Coffee & Tea, Delis, Restaurants, American (New)",2.61,0.67,0.54,0.36,67
TSgZB6PkWFjmasewVkySjA,Bar-B-Q Heaven,Indianapolis,IN,46205,1,"Barbeque, Restaurants",2.8,0.9,0.2,0.0,10
kpFgC_cTU2yBPi-G_vFHTA,Thai King,Indianapolis,IN,46250,0,"Thai, Restaurants, Noodles, Soup",4.57,2.29,0.0,1.14,7
L_sXNadtVHjxMw7Yhvkj9Q,Naoki Ramen,Philadelphia,PA,19107,0,"Ramen, Restaurants, Japanese",3.9,1.08,0.46,0.46,93
HuDNHqKv9n1mWpe4BqCnwA,Minas Pizza,Philadelphia,PA,19128,1,"Restaurants, Pizza",2.8,1.4,0.44,0.29,55
BxR5hjyBnJZrm_nnaCtGQw,The Lunar Inn,Philadelphia,PA,19134,1,"Bars, Food, Restaurants, Beer, Wine & Spirits, American (Traditional), Nightlife",4.55,0.24,0.1,0.24,29
4TQMOy00KD_54xSFwKgMZw,Ndulge,Philadelphia,PA,19127,0,"Restaurants, Thai, Food, Cafes, Cupcakes",3.69,0.62,0.12,0.06,16
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,Philadelphia,PA,19111,1,"Chicken Wings, Nightlife, Bars, Delis, Food, Beer Gardens, Sandwiches, Beer Bar, Restaurants, Beer, Wine & Spirits, Gastropubs",4.61,0.88,0.14,0.66,119
V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,Philadelphia,PA,19107,1,"Restaurants, Cajun/Creole",4.07,0.66,0.19,0.39,502
COclRBaXBjYpomS4syUmvg,Monon Coffee Company,Indianapolis,IN,46220,1,"Restaurants, Food, Coffee & Tea",4.2,1.0,0.21,0.55,174
DOl21AqtT74dUZ3kvXNNcA,Golden Triangle,Philadelphia,PA,19147,1,"Restaurants, Malaysian, Burmese, Asian Fusion, Thai",4.39,1.19,0.28,0.61,163
I4TFiNX5gTsJBnEGH2Tl8Q,Benna's West,Philadelphia,PA,19146,0,"Juice Bars & Smoothies, Sandwiches, Food, Restaurants, Coffee & Tea",3.55,1.11,0.19,0.17,47
MKy5T5exCdH4IUVlYPtWkw,El Taco Torro,Indianapolis,IN,46226,1,"Mexican, Restaurants",3.36,0.86,0.14,0.43,14
PvT44WlqJLkUrCITo6AjRA,Breakfast Boutique Chestnut Hill,Philadelphia,PA,19118,1,"Breakfast & Brunch, Restaurants",3.22,1.32,0.17,0.16,152
7pxE4BFDibv6Q7MBbNOPQA,Los Rancheros,Indianapolis,IN,46268,1,"Food, Imported Food, Ethnic Food, Specialty Food, Restaurants, Beer, Wine & Spirits, Mexican",3.57,0.76,0.02,0.35000000000000003,46
yS0TsUzKBQlHQCZZeBrxww,Tortas El Guero,Indianapolis,IN,46254,1,"Mexican, Sandwiches, Restaurants",4.53,0.9400000000000001,0.18,0.46,179
XGV6orMei8NRfmbpsRC3Rg,CraftyCrab,Indianapolis,IN,46268,1,"Seafood, Restaurants",3.86,0.93,0.0,0.43,28
N1ZXhAVzOzbyCBPEXTaUUw,Tandoor Authentic Indian Restaurant,Philadelphia,PA,19104,0,"Food Delivery Services, Halal, Food, Restaurants, Buffets, Pakistani, Indian",3.39,1.78,1.13,1.44,156
xtV9pSVUv8sgqAO7Oxoacw,Eh! Formaggio,Indianapolis,IN,46254,0,"Restaurants, Pizza",4.33,0.33,0.17,0.0,6
vQ3bOb_sq0peWxJx3VoCDw,Jimmy B's Eatery & Pub,Indianapolis,IN,46280,1,"Pubs, American (Traditional), Restaurants, Bars, Nightlife",3.7600000000000002,0.9,0.6000000000000001,0.5700000000000001,42
nBr6NgqcZz1GhtAngU0RSQ,Forin Cafe,Philadelphia,PA,19125,1,"Shopping, Restaurants, Cafes, Fashion",4.67,2.0,0.58,1.67,12
y44MbCvvtmg1FpkNGSWisw,Tony's Luke,Philadelphia,PA,19153,1,"Cheesesteaks, Restaurants",2.61,1.22,0.59,0.61,174
xb-qtXVZ7xFr51Se5fAZjg,Saige Café,Philadelphia,PA,19123,0,"Sandwiches, Breakfast & Brunch, Coffee & Tea, Food, Restaurants, Cafes, Juice Bars & Smoothies",3.0,0.67,0.07,0.07,15
LSdg7x7HhUdvYUevvYVHjQ,Sunoco,Philadelphia,PA,19102,1,"Restaurants, Delis, Sandwiches",2.38,1.75,1.12,0.75,8
Vj_72qKqpL10ECZfbHDyBw,Firehouse Subs,Indianapolis,IN,46250,0,"Food, Delis, Restaurants, Sandwiches, Fast Food, American (New)",3.19,0.44,0.25,0.31,16
U30ggGzFpXvc2NZYwOW3qg,Mood Cafe,Philadelphia,PA,19143,1,"Cafes, Pakistani, Juice Bars & Smoothies, Restaurants, Ice Cream & Frozen Yogurt, Halal, Indian, Coffee & Tea, Food",4.67,1.27,0.31,0.66,476
YUlWhx8rq_Pc5yVKrp2awQ,China One,Indianapolis,IN,46221,1,"Chinese, Restaurants",4.13,0.5700000000000001,0.09,0.30000000000000004,23
NKplFLr1UebQxMLQAxALPQ,Tandoor & Tikka,Indianapolis,IN,46250,1,"Restaurants, Pizza, Indian, Vegetarian",3.3,1.01,0.05,0.35000000000000003,79
dE_MaaYrXBAEebtH2u_B-w,Wilson's Market,Philadelphia,PA,19141,1,"Specialty Food, Meat Shops, Sandwiches, Food, Restaurants, Delis, Grocery",3.46,1.23,0.31,0.31,13
68ThEdiK0eWCEgGEmV9Tng,Southgate,Philadelphia,PA,19146,1,"Breakfast & Brunch, American (Traditional), Korean, Restaurants, Gastropubs, Nightlife, Bars, Cocktail Bars",4.16,1.6300000000000001,0.5,0.96,330
USyJiGIvZ8fHjRVaVTu1Zw,Tony Jr's,Philadelphia,PA,19103,0,"Restaurants, Sandwiches, Cheesesteaks",3.15,1.28,1.06,0.97,71
cEG1r9aRMJwmRQVkh7eiJg,Falls Deli,Philadelphia,PA,19129,1,"Bagels, Food, Sandwiches, Delis, Breakfast & Brunch, Restaurants, Event Planning & Services, Caterers",4.48,0.71,0.06,0.39,31
9dm_v79s9-pefMahqp1SkA,Loco Mexican Restaurant & Cantina,Indianapolis,IN,46205,1,"Restaurants, Mexican",3.96,1.17,0.22,0.59,187
TttFjRQ-8Iz8by4hsD7iOQ,Angelina's,Philadelphia,PA,19147,1,"Restaurants, Italian",4.64,1.14,0.08,0.18,50
aurl4I40YVQfQ8loOdgKCg,Crown Fried Chicken,Philadelphia,PA,19123,1,"Chicken Wings, Restaurants, Fast Food",3.36,0.8200000000000001,0.0,0.45,11
5PDNXMquh1C9E089G1RY2g,Ob's Pizza Pub & Eatery,Indianapolis,IN,46229,1,"Nightlife, Pubs, Pizza, Bars, Restaurants, American (Traditional), Music Venues, Arts & Entertainment, Dance Clubs",3.25,0.58,0.0,0.17,12
di5ihAL9VWoctHelY8kLTQ,Gigi and Big R,Philadelphia,PA,19104,1,"Restaurants, Food, Caribbean, Food Trucks",3.79,0.89,0.4,0.44,82
Pb5agnsD9EdCl6yuZp2jJA,O Sole Mio,Philadelphia,PA,19147,1,"Food, Seafood, Sardinian, Gelato, Restaurants, Pizza, Italian",4.44,0.93,0.14,0.33,88
368cyArdo0P0aDUOhhE4PA,PANA Donuts Coffee & Boba Tea,Indianapolis,IN,46237,1,"Sandwiches, Food, Donuts, Restaurants, Juice Bars & Smoothies",4.62,1.13,0.09,0.48,164
Bw0cpnfI-Y9QmjWzqS-oFg,Izumi,Philadelphia,PA,19148,0,"Restaurants, Sushi Bars, Desserts, Food, Japanese",3.82,1.2,0.35000000000000003,0.42,226
1w1H1kYUN60zpfdP-0qmGQ,Machismo Burrito Bar,Philadelphia,PA,19128,0,"Restaurants, Mexican",2.77,0.7000000000000001,0.33,0.27,30
1X0ZCiRUWkVsdINtZmRSiw,Auntie Anne's,Indianapolis,IN,46250,1,"Food, Desserts, Specialty Food, Pretzels, Restaurants, Fast Food",3.0,0.14,0.0,0.14,7
b-EHLoRBtVgOpkv6-i1pSA,Huge Impact Restaurant,Indianapolis,IN,46254,1,"Restaurants, American (New), Food Trucks, Food, Mexican",3.74,1.05,0.05,0.21,38
3VKE0_-KhU_qMYHxcyVcDg,Just To Serve You Too,Philadelphia,PA,19120,0,"Seafood, Restaurants, Soul Food, Southern",3.04,1.18,0.31,0.26,72
kgMEBZG6rjkGeFzPaIM4MQ,McDonald's,Philadelphia,PA,19146,0,"Fast Food, Food, Restaurants, Coffee & Tea, Burgers",1.72,0.72,0.76,0.22,58
fKDV_dlDhXd7P5kZi97Kng,The Spot,Philadelphia,PA,19103,0,"Breakfast & Brunch, Pizza, Greek, Restaurants, Food",3.05,0.7000000000000001,0.30000000000000004,0.24,86
69y8BIrahfo6I_5AkIYf-g,Rally's,Indianapolis,IN,46237,0,"Restaurants, Fast Food, Burgers",1.0,0.78,0.0,0.11,9
XgLrkmIqIrD_pl67lAovEQ,The Bourse,Philadelphia,PA,19106,0,"Food Court, Shopping, Shopping Centers, IT Services & Computer Repair, Local Services, Souvenir Shops, Restaurants",2.11,1.17,0.58,0.5,36
_IYHl6J9iB3lbeJq27pbsg,Taqueria La Hacienda,Philadelphia,PA,19120,1,"Latin American, Restaurants",3.3,2.5,1.0,1.9000000000000001,10
zwfN21b6gN2XGjNG6MYNzQ,Wolfgang Puck Express,Indianapolis,IN,46241,0,"Breakfast & Brunch, American (New), Salad, Restaurants",1.86,0.97,0.31,0.41000000000000003,70
Ryt1Fhgz7sixMQSJiLyP_g,Zocalo,Philadelphia,PA,19104,0,"Restaurants, Mexican",2.63,3.29,1.84,1.23,62
B6qHZCAs7Nka-1zdjCzAIQ,Butter's Soul Food,Philadelphia,PA,19130,1,"Food, Caterers, Event Planning & Services, Restaurants, Soul Food",3.04,1.21,0.58,0.21,78
rKwIFN1poV6gHBIxp3FxkA,Hardee's,Indianapolis,IN,46201,1,"Restaurants, Burgers, Fast Food",2.33,0.67,0.0,0.33,6
6WJ-dFE9axF2o55NQWrNgA,Tinker Coffee,Indianapolis,IN,46241,1,"Food, Coffee & Tea, Breakfast & Brunch, Restaurants, Coffee Roasteries",3.7,3.3,1.2,2.9,10
pEYs1oVeJ6YM2SG5WEr5Pg,Burger Theory,Indianapolis,IN,46241,1,"Burgers, Restaurants",3.82,1.06,0.03,0.29,87
78e90HO_R40SyzBr4fnHSA,Primanti Bros - Indianapolis,Indianapolis,IN,46204,0,"American (New), Bars, Sandwiches, Salad, American (Traditional), Restaurants, Pizza, Sports Bars, Nightlife",3.53,0.52,0.16,0.28,224
KAZ2Z3831eb5lHtUDKa8kA,Saladworks,Philadelphia,PA,19104,1,"Salad, Restaurants, American (Traditional), Food, Sandwiches, Do-It-Yourself Food, Soup, Vegetarian, American (New)",3.5,4.0,1.5,3.38,8
cLlBDZxYJ1dt1JgMuZnXew,Olly,Philadelphia,PA,19147,1,"Pizza, Food, Bagels, Sandwiches, Comfort Food, Breakfast & Brunch, Burgers, American (New), Nightlife, Bars, Wine Bars, Restaurants",4.15,1.35,0.29,0.54,52
OMSEg2rW-yVtE0OspyEvkg,Cup of Corn,Indianapolis,IN,46225,0,"Food Stands, Restaurants, Food",5.0,0.5,0.17,0.33,6
V5KiEoH4E86GA2S3RQkf1g,Spice Grill,Philadelphia,PA,19134,1,"Restaurants, Chinese, Asian Fusion",3.38,1.08,0.31,0.23,13
MMRRS6YhVRx_iN5-JhMRYg,Han Dynasty,Philadelphia,PA,19104,1,"Restaurants, Chinese, Szechuan",3.93,1.05,0.33,0.42,818
F_wIC6i5y4zdQyp99R7PdQ,Blueberry Hill Pancake House,Indianapolis,IN,46219,1,"American (Traditional), Breakfast & Brunch, Restaurants, Specialty Food, Salad, Food",3.59,0.97,0.17,0.44,103
icp_IKE9zIkAqAucyS1vTA,Hakka Beef House,Philadelphia,PA,19107,0,"Restaurants, Chinese",4.27,2.27,0.18,0.52,33
YdeBit_K6FQ7ye1bNtDm2A,Jack's Pizza,Indianapolis,IN,46204,0,"Restaurants, Pizza, Food, Food Delivery Services",2.71,0.43,0.14,0.14,7
f8xDi3rajxvIqS73N93Afw,Guavaberry Foods & Drinks ,Philadelphia,PA,19147,1,"Delis, Convenience Stores, Restaurants, Cafes, Food",3.93,1.93,0.43,0.86,14
A0F-h3xJm_6gHDKcDQwSrQ,Capogiro Gelato,Philadelphia,PA,19104,0,"Pizza, Restaurants, Gelato, Coffee & Tea, Ice Cream & Frozen Yogurt, Food",3.98,0.89,0.6000000000000001,0.61,258
ymoEdJB5NE56sWw74uyX7A,Sushi Bar,Indianapolis,IN,46220,1,"Sushi Bars, Restaurants",4.13,1.09,0.19,0.67,359
4-y4Jj8hNuVIFktoYnm3-Q,Bella Pizzeria,Indianapolis,IN,46240,0,"Pizza, Restaurants",2.94,0.51,0.13,0.11,71
3y61A28PQDZ4weeeTRfIlA,Burger Study,Indianapolis,IN,46225,0,"Restaurants, Beer Bar, Salad, Burgers, Bars, Nightlife",3.95,0.55,0.05,0.31,455
SPWyzJPFP2TT7x0BsqaBqQ,Chenango Restaurant & Bar,Philadelphia,PA,19123,0,"Barbeque, Bars, Nightlife, Restaurants",2.0,0.4,0.1,0.0,10
Knt2mnsG15akKb9cjSiuxw,John's Seafood,Philadelphia,PA,19123,1,"Restaurants, Seafood",2.82,0.91,0.18,0.18,11
PVqNBGihp6yNv6HTQf7CjA,Arby's,Indianapolis,IN,46254,1,"Restaurants, Fast Food, Sandwiches",3.5,0.2,0.1,0.2,10
ugSVRAKO6mxvsrElFg8USw,México Lindo,Philadelphia,PA,19148,1,"Mexican, Restaurants",4.59,0.88,0.07,0.51,75
mpVZG520RL-K1YeQi55ZPg,The Blarney Stone,Philadelphia,PA,19104,0,"Burgers, American (Traditional), Karaoke, Pubs, Restaurants, Nightlife, Bars",3.5,1.0,1.02,0.43,46
duf2PORLOL6it1dTGhSnKA,Junes Breakfast,Philadelphia,PA,19151,1,"Breakfast & Brunch, Restaurants, Coffee & Tea, Food, Sandwiches, American (New)",2.7,0.75,0.45,0.30000000000000004,20
9MHe5jAym2d8VhT_NbCRyw,Bamboo House,Indianapolis,IN,46237,1,"Restaurants, Chinese, Thai",2.57,0.86,0.35000000000000003,0.27,49
hr9RXMri_BltL2jJDO-15w,Bitter Sweet,Indianapolis,IN,46219,0,"Mediterranean, Salad, Sandwiches, Restaurants, Breakfast & Brunch",4.38,0.86,0.14,0.52,29
jAGzl-N2GINB_wK87bjoVA,RJS Tacos & Burritos,Indianapolis,IN,46219,1,"Mexican, Restaurants, Food, Tacos, Desserts",4.14,0.47000000000000003,0.07,0.16,43
d-37SrSuOew0uqwuOM_w7w,Thai Fusion,Indianapolis,IN,46234,0,"Thai, Restaurants",3.95,1.02,0.09,0.45,58
bKppmYKQ_-9cpp2yziB-Qw,Lincoln Chicken Pizza And Grill,Philadelphia,PA,19130,1,"Cheesesteaks, Chicken Wings, Restaurants, Pizza",2.7,0.55,0.4,0.25,20
EK4lynYPnlI_dqvWDVaOfw,Little Caesar's Pizza,Indianapolis,IN,46203,1,"Restaurants, Pizza",2.86,0.43,0.14,0.0,7
K8b2MQ5Az59-nzvqUfjJEQ,The Farm and Fisherman,Philadelphia,PA,19107,0,"American (New), Restaurants",4.09,0.9500000000000001,0.16,0.31,244
LktIfbmd3k0kDiWibGw7DQ,Stacked Pickle - 96th Street,Indianapolis,IN,46240,0,"Chicken Wings, Bars, Nightlife, Sports Bars, Burgers, Restaurants, American (New)",2.96,0.49,0.14,0.21,70
sNDXKUS14_xXdD0fJdw23g,Jimmy John's,Indianapolis,IN,46278,1,"Restaurants, Fast Food, Delis, Sandwiches",3.36,0.36,0.21,0.29,14
s55Hw6gHhQzZctinFhPu-g,Urban Eatery,Philadelphia,PA,19104,1,"Restaurants, Food Court",2.11,0.78,1.0,0.33,9
n6dw_zxL_4cVO6EP_m0joQ,Dragon House,Philadelphia,PA,19107,1,"Restaurants, Chinese",4.17,1.0,0.33,0.17,6
agTcS5LYZJe4gNiXK6nNkw,Buca D’Oro ,Philadelphia,PA,19106,1,"Italian, Restaurants",4.2,0.8,0.0,0.0,5
